mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
fixed_paper_like,200,SA,81.0,12671.481001956246,8.693726657912787,55.745047968785094,167.68890456993284,46.6,21.8,0.6005612666412518,0.4848279025608083,-16.057985251773225,,,0.0,0.0,,,,46.6,34.4
fixed_paper_like,200,Greedy,174.0,2817.502699844089,1.718928478173663,12.771265884386294,23.441322868698116,170.9,0.0,0.31782512529298945,0.12017180189811072,-9.513435654421908,,,0.0,0.0,,,,170.9,3.1
fixed_paper_like,200,MCTS,154.4,4739.613602631386,2.7798742076846787,21.29103325564435,73.13384548038653,138.3,50.7,0.37701194731349635,0.19650741157890583,-12.778650238191243,,,0.0,0.0,,,,138.3,16.1
fixed_paper_like,300,Stochastic,72.2,15452.523491278887,10.29963804242702,68.04796726680817,273.01235755944924,20.6,9.7,0.8056149045888145,0.7492937741118922,-13.661324816610147,,,0.0,0.0,,,,20.6,51.6
fixed_paper_like,300,LinUCB,138.3,5645.675894012837,2.4882904752547543,25.813297146822702,193.09364295091828,93.7,31.0,0.5292330882453871,0.39283310034989716,-11.394235687744498,,,0.0,0.0,,,,93.7,44.6
fixed_paper_like,300,SA,100.3,10467.070566880131,6.196920282628961,46.41299877384143,253.9303030627801,55.4,26.7,0.6157006579114229,0.5043537805071555,-13.711309909694867,,,0.0,0.0,,,,55.4,44.9
fixed_paper_like,300,Greedy,190.7,2234.6463119424825,1.111653168465424,10.516764413169028,31.895164244935852,187.8,0.0,0.3157655366699226,0.1175154681422795,-6.457169008121818,,,0.0,0.0,,,,187.8,2.9
fixed_paper_like,300,MCTS,164.4,4153.956999831262,2.0169474858836187,19.04165791417487,100.651567961987,135.6,51.6,0.42634963090862765,0.2601401938250548,-10.222287987365824,,,0.0,0.0,,,,135.6,28.8
fixed_paper_like,400,Stochastic,87.1,12672.96867387476,7.327378463537594,56.307578318370496,375.10592792960097,24.3,13.4,0.8058410226953884,0.7495854076704436,-12.173536045585173,,,0.0,0.0,,,,24.3,62.8
fixed_paper_like,400,LinUCB,126.2,7008.74782661318,3.4158185594253423,32.188513699017804,239.93490832792077,83.5,33.3,0.537449251330489,0.4034298142285511,-11.317711522950601,,,0.0,0.0,,,,83.5,42.7
fixed_paper_like,400,SA,107.1,9613.021888250512,5.071678215441815,42.84853573448985,318.26985999708893,57.1,27.3,0.6300836403441233,0.5229040877469654,-11.79749417872078,,,0.0,0.0,,,,57.1,50.0
fixed_paper_like,400,Greedy,185.2,2028.8038309403623,0.876682716002453,9.73576288562815,37.518975131169626,182.3,0.0,0.3161465972586962,0.11800693721218955,-3.9338608749334876,,,0.0,0.0,,,,182.3,2.9
fixed_paper_like,400,MCTS,163.5,3602.443831722872,1.3372271442655737,16.75068148359904,122.77195772616199,124.0,48.4,0.47232660213988165,0.3194385310292066,-7.7678359546435924,,,0.0,0.0,,,,124.0,39.5
fixed_paper_like,500,Stochastic,88.1,13254.835341736596,7.352794959176165,59.11763310781021,466.0887984945706,23.7,13.1,0.8136082791655239,0.7596031487478319,-11.763192034835422,,,0.0,0.0,,,,23.7,64.4
fixed_paper_like,500,LinUCB,130.3,6565.732186488625,2.6292613546556804,30.620646264272086,307.6114211609801,81.1,29.6,0.5676330527829213,0.44235906921637874,-10.09580242329546,,,0.0,0.0,,,,81.1,49.2
fixed_paper_like,500,SA,107.3,8890.201406173013,3.9998836379281313,40.06681252677981,400.223840695996,56.1,25.5,0.638262433716564,0.53345260441377,-10.674519742510583,,,0.0,0.0,,,,56.1,51.2
fixed_paper_like,500,Greedy,194.6,1826.8378965291008,0.7005031129277131,8.937054320978513,38.41119886700826,192.2,0.0,0.31412207100166356,0.11539582479105266,-3.5550105376672283,,,0.0,0.0,,,,192.2,2.4
fixed_paper_like,500,MCTS,158.5,3948.066078642587,1.4726576516567182,18.52086111157376,149.96158197597524,115.1,45.7,0.4944573461020614,0.3479814359423517,-7.470255049108985,,,0.0,0.0,,,,115.1,43.4
adaptive_semantic,100,Stochastic,35.4,27932.879277016502,22.556156250753705,121.81024134862969,85.475444940932,10.8,5.4,0.7912499225789718,0.7098216442577442,-19.48381888198193,0.0,8.9,0.0,,0.4,1.5,0.0,0.0,24.6
adaptive_semantic,100,LinUCB,136.5,5405.5190355070035,3.148774420812578,23.96706049070631,78.94996973253997,115.8,51.2,0.4082581784407582,0.17656848874443204,-18.806062921433305,0.0,88.7,0.0,,1.1,26.0,0.0,0.0,20.7
adaptive_semantic,100,SA,56.9,16797.224209212472,12.96974750991051,73.45686360946755,82.9401544810476,35.6,17.0,0.5623634725648811,0.3906757411900106,-20.51345222375188,0.0,27.9,0.0,,0.3,7.4,0.0,0.0,21.3
adaptive_semantic,100,Greedy,200.0,1708.112795099656,0.8638594420328862,7.72263277037799,15.749786356130224,189.7,0.0,0.34106120582235766,0.11724901265231731,-10.84507760419222,0.0,73.3,0.0,,50.4,66.0,0.0,0.0,10.3
adaptive_semantic,100,MCTS,190.1,2571.6295758075785,1.2240246652585207,11.51537400040923,38.461846431590615,168.3,68.2,0.3848358603378368,0.15363685558115756,-14.810460007092965,0.0,93.1,0.0,,10.5,64.7,0.0,0.0,21.8
adaptive_semantic,200,Stochastic,63.0,16925.41279769018,12.158649035651187,74.38089289387904,184.36575195105772,20.4,11.3,0.7771562461882641,0.6935245862470703,-16.03335348430456,0.0,12.4,0.0,,1.5,6.5,0.0,0.0,42.6
adaptive_semantic,200,LinUCB,157.1,4152.102931364839,1.4996678080331758,19.05714514098186,142.3463987472839,114.1,49.1,0.49511682989992467,0.30329910423385065,-12.7314473827238,0.0,55.2,0.0,,2.1,56.8,0.0,0.0,43.0
adaptive_semantic,200,SA,91.7,10580.35824348827,6.828315413483892,46.66164028483647,166.38499184602694,56.5,27.8,0.5730246236653087,0.40923215005671076,-16.047197707517824,0.0,35.0,0.0,,1.6,19.9,0.0,0.0,35.2
adaptive_semantic,200,Greedy,205.1,1328.3472906811144,0.4470255852646119,6.2863193130427195,21.15135520403829,197.4,0.0,0.331700525010977,0.12017603229699554,-4.477048624230308,0.0,37.2,0.0,,73.6,86.6,0.0,0.0,7.7
adaptive_semantic,200,MCTS,188.2,2520.231628597573,0.8187662463962321,11.645665912772241,68.51570051803502,153.0,64.8,0.4351142821463288,0.22905696922759913,-9.673689773393146,0.0,53.7,0.0,,13.6,85.7,0.0,0.0,35.2
adaptive_semantic,300,Stochastic,80.0,13413.914273094502,8.461904208177332,59.22874345477885,280.3515873635417,23.5,12.6,0.7946477034654061,0.7173954778641237,-13.845937208056617,0.0,11.9,0.0,,1.0,10.6,0.0,0.0,56.5
adaptive_semantic,300,LinUCB,149.4,4492.492677619623,1.436530761327741,20.82624166873483,193.2969950668826,99.6,40.6,0.5370494817113336,0.364180474248032,-10.27410433793873,0.0,38.1,0.0,,3.7,57.8,0.0,0.0,49.8
adaptive_semantic,300,SA,108.7,8660.797228582222,4.589535601298318,38.5218439785474,251.3955048841949,61.0,32.1,0.609725636558452,0.46244834758320297,-12.928631673308619,0.0,25.7,0.0,,1.4,33.9,0.0,0.0,47.7
adaptive_semantic,300,Greedy,210.6,1278.901749482183,0.33972447539862416,6.268127823036185,26.71940309413742,202.9,0.0,0.33115294039050747,0.12476022174064907,-2.527137866619621,0.0,23.2,0.0,,83.0,96.7,0.0,0.0,7.7
adaptive_semantic,300,MCTS,184.1,2771.7935134975364,0.7725283201040994,12.982544424211175,96.8248275830936,140.4,60.7,0.4696444709909219,0.2794179539802645,-8.010772502307583,0.0,40.9,0.0,,16.1,83.4,0.0,0.0,43.7
adaptive_semantic,400,Stochastic,84.7,12997.14605538294,7.594741964168621,57.94603188254573,375.7625992518998,21.0,11.3,0.8267819998147784,0.7637836742620276,-11.92154799047036,0.0,7.4,0.0,,2.1,11.5,0.0,0.0,63.7
adaptive_semantic,400,LinUCB,140.4,5609.513558031322,2.097390196536044,26.17182856714773,247.9079312310943,94.6,41.7,0.5310158308495552,0.35522566496651425,-11.22588659471729,0.0,38.9,0.0,,3.4,52.3,0.0,0.0,45.8
adaptive_semantic,400,SA,110.8,8815.594008209038,4.315121293785127,39.234910808201796,321.34236367324456,57.8,28.9,0.6387540179739019,0.5046510740610648,-11.309778312877546,0.0,21.3,0.0,,2.8,33.7,0.0,0.0,53.0
adaptive_semantic,400,Greedy,211.9,1368.4944121461638,0.31834165099779677,6.809263525535302,35.28743208641825,206.7,0.0,0.3229656320561608,0.1145848016921998,-2.3895339106750204,0.0,21.4,0.0,,84.8,100.5,0.0,0.0,5.2
adaptive_semantic,400,MCTS,173.5,2791.6130173232873,0.6417920729605383,13.273696976863153,115.25964071769263,124.7,53.7,0.5020604906440074,0.3251900234039346,-6.734717886902304,0.0,28.5,0.0,,15.3,80.9,0.0,0.0,48.8
adaptive_semantic,500,Stochastic,87.6,13401.565273669277,7.505308437826558,59.733514133242046,457.0510209582975,21.7,11.5,0.8278696612840111,0.7657788556758021,-12.217778062231456,0.0,7.6,0.0,,2.6,11.5,0.0,0.0,65.9
adaptive_semantic,500,LinUCB,137.2,5110.77718790647,1.287496127649634,24.316000526437918,311.2668464678876,87.6,39.2,0.5543397687673881,0.38887539829995943,-10.071283429659026,0.0,33.4,0.0,,4.6,49.6,0.0,0.0,49.6
adaptive_semantic,500,SA,107.9,8532.77912385599,3.606394535227558,38.41826349830924,409.57025121543904,59.8,30.6,0.6153176454741223,0.4735675173714406,-11.089559238789992,0.0,20.9,0.0,,3.8,35.1,0.0,0.0,48.1
adaptive_semantic,500,Greedy,207.7,1476.2466342241717,0.3839044718047572,7.433546377518819,39.46549436390263,204.0,0.0,0.31830576978662806,0.10846201316056484,-2.3977810097692656,0.0,19.8,0.0,,83.8,100.4,0.0,0.0,3.7
adaptive_semantic,500,MCTS,174.4,3086.077947890567,0.6869706547361207,14.849849963532105,146.56107238954985,121.7,51.4,0.516453335200474,0.3445237042437018,-7.023012913255094,0.0,30.4,0.0,,15.3,76.0,0.0,0.0,52.7
