mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
fixed_paper_like,200,SA,78.7,14991.544769826296,11.276973084735335,65.91686395053158,160.41593004135092,45.3,19.8,0.9717084322203533,0.48802110474585386,-15.961431791816088,,,0.0,0.0,,,,45.3,33.4
fixed_paper_like,200,Greedy,170.8,3117.0372057175728,2.3631423821009476,14.10080186018477,23.985510975201215,147.6,0.0,0.9569619073154104,0.22116033589502443,-10.965208947771917,,,0.0,0.0,,,,147.6,23.2
fixed_paper_like,200,MCTS,157.0,4516.81453108515,3.1177253051987153,20.294738637751795,72.58493375188598,131.6,31.8,0.9585102901185512,0.2491806747874102,-12.329712016189147,,,0.0,0.0,,,,131.6,25.4
fixed_paper_like,300,Stochastic,75.0,15931.230241922813,10.982479453404341,70.289296449702,271.2891502315041,19.7,10.0,0.9872279993944115,0.7688712477454609,-13.896708742980977,,,0.0,0.0,,,,19.7,55.3
fixed_paper_like,300,LinUCB,127.5,6489.155645370391,3.682622846012792,29.525170013159812,199.21980115724097,85.3,24.3,0.9667479376623425,0.39825342048367196,-11.789838774804206,,,0.0,0.0,,,,85.3,42.2
fixed_paper_like,300,SA,90.1,12394.812349550662,8.371049120098103,54.85966197339426,253.23942038046798,47.3,23.3,0.9739942359472572,0.529386195432337,-14.34034064440452,,,0.0,0.0,,,,47.3,42.8
fixed_paper_like,300,Greedy,187.4,2415.9990149354403,1.6423914666095158,11.184160545685858,29.348183398680895,145.8,0.0,0.9613514145893809,0.3005951378947308,-6.469414739878216,,,0.0,0.0,,,,145.8,41.6
fixed_paper_like,300,MCTS,158.5,4244.765686962359,2.599311611487008,19.32910707978931,100.87931134385856,120.6,30.0,0.9623358373662935,0.3184097634295352,-10.124393346068041,,,0.0,0.0,,,,120.6,37.9
fixed_paper_like,400,Stochastic,82.2,13486.251876120135,8.329402263859194,59.837782518284044,372.40301829024696,22.2,12.3,0.986651244190484,0.7584339862109021,-12.468576193446054,,,0.0,0.0,,,,22.2,60.0
fixed_paper_like,400,LinUCB,128.7,7078.884986014382,3.8237245591690465,32.311286954460044,251.99619388957686,80.1,22.5,0.9691006521527491,0.4408293630764827,-11.419358667929993,,,0.0,0.0,,,,80.1,48.6
fixed_paper_like,400,SA,111.5,8978.655170194703,5.0071697828033175,40.13481080461321,304.07985458237283,52.9,22.4,0.9765851802840597,0.5762732689785155,-11.433936780942533,,,0.0,0.0,,,,52.9,58.6
fixed_paper_like,400,Greedy,194.9,2103.9298178506415,1.2652204204517692,10.093986576786737,37.8221606954462,148.1,0.0,0.9624009706374345,0.3195884489114614,-4.567544336189709,,,0.0,0.0,,,,148.1,46.8
fixed_paper_like,400,MCTS,160.9,4018.157205281379,2.214769501197212,18.52668473222746,121.09795968716585,113.8,33.5,0.9649431750828859,0.36559350008536884,-8.379398626974591,,,0.0,0.0,,,,113.8,47.1
fixed_paper_like,500,Stochastic,82.7,13585.186470173645,7.903179187878784,60.47286235098269,462.59371741432125,20.2,10.9,0.9879652311880864,0.7822125769433214,-11.535167074266486,,,0.0,0.0,,,,20.2,62.5
fixed_paper_like,500,LinUCB,125.8,7058.288070591641,3.394433691602315,32.704777352971114,327.9423201810994,79.1,23.2,0.9687810799844561,0.435046219245394,-11.065104281316724,,,0.0,0.0,,,,79.1,46.7
fixed_paper_like,500,SA,102.2,9330.121255446156,4.833149651000771,42.03489799960196,401.5388354940977,49.4,23.3,0.9759242935223214,0.5643135191053956,-10.918109482846491,,,0.0,0.0,,,,49.4,52.8
fixed_paper_like,500,Greedy,188.5,2315.713181793513,1.4347232762067135,11.128106632115255,41.892989137042036,147.1,0.0,0.9612167328469367,0.29815786717702053,-4.409892462463295,,,0.0,0.0,,,,147.1,41.4
fixed_paper_like,500,MCTS,149.5,4523.918916445995,2.475111768253834,21.118428644293807,151.86345530001088,105.9,34.0,0.9649247692350492,0.3652604183093793,-8.488275176621878,,,0.0,0.0,,,,105.9,43.6
adaptive_semantic,100,Stochastic,36.7,29598.783156596015,24.10712666778935,129.11012157259924,89.63539621719951,10.7,5.0,0.9518963193288676,0.7201558678695139,-20.214522488052978,0.0,9.1,0.0,,0.4,0.6,0.5,0.1,26.0
adaptive_semantic,100,LinUCB,162.2,3565.498966671109,1.9913366953015441,16.03778635406522,75.6455471346457,131.1,54.9,0.8690707781688131,0.19988111353186683,-17.437524881576728,0.0,95.2,0.0,,1.3,25.3,8.2,1.1,31.1
adaptive_semantic,100,SA,60.3,14869.25178825489,11.558532596252057,65.14144257782387,85.53815823691144,37.8,17.9,0.8936017582640753,0.3877949948290953,-20.779953259128483,0.0,32.1,0.0,,0.1,3.4,1.7,0.5,22.5
adaptive_semantic,100,Greedy,212.5,1141.5486442432743,0.6692185628420806,5.256731889910827,13.929777507634494,136.8,0.0,0.9167991419481897,0.3770436707414035,-8.247683154089415,0.0,62.7,0.0,,4.5,35.0,24.6,10.0,75.7
