mode,scale,description,feature_bytes_mean,feature_bytes_median,zlib_bytes_mean,zlib_bytes_median,feature_ratio_mean,feature_ratio_median,zlib_ratio_mean,zlib_ratio_median,pixel_accuracy_mean,pixel_accuracy_median,mean_iou_mean,mean_iou_median
emergency,0.125,very small payload for poor links,32768.0,32768.0,1360.88,1347.0,0.005208333333333332,0.005208333333333333,0.00021630605061848958,0.00021409988403320312,0.9699882113933563,0.9703102111816406,0.8136171768453495,0.816177344072543
low,0.25,small payload when latency is critical,131072.0,131072.0,3194.1575,3131.0,0.02083333333333333,0.020833333333333332,0.0005076976617177328,0.0004976590474446614,0.9852671885490417,0.985431432723999,0.8915260114455288,0.8952331561262772
medium,0.375,balanced compression,294912.0,294912.0,5401.425,5333.5,0.046875,0.046875,0.0008585333824157714,0.0008477369944254558,0.9922664952278137,0.9923746585845947,0.9349805576029633,0.9392832186764731
paper_like,0.56,close to AirTalking rho_c=0.104,657231.0,657231.0,9293.45,9150.0,0.10446405410766602,0.10446405410766602,0.0014771540959676104,0.0014543533325195312,0.994264190196991,0.994290828704834,0.9505133587591602,0.954777677911137
high,0.75,higher semantic quality when channel is good,1179648.0,1179648.0,13747.9775,13612.5,0.1875,0.1875,0.0021851821740468346,0.0021636486053466797,0.9964096319675445,0.9964334964752197,0.9693919603126989,0.9729020347294632
