check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 flight_energy,semantic,400,SA,flight_energy_per_req,10000.000,8536.489,-1463.511,0.146,match
Figure 3 flight_energy,semantic,400,Greedy,flight_energy_per_req,5000.000,2066.377,-2933.623,0.587,mismatch
Figure 3 flight_energy,semantic,400,MCTS,flight_energy_per_req,5500.000,3905.272,-1594.728,0.290,partial
Figure 3 flight_energy,semantic,500,LinUCB,flight_energy_per_req,10000.000,6556.576,-3443.424,0.344,partial
Figure 3 flight_energy,semantic,500,SA,flight_energy_per_req,16000.000,9584.031,-6415.969,0.401,partial
Figure 3 flight_energy,semantic,500,Greedy,flight_energy_per_req,4500.000,2047.335,-2452.665,0.545,mismatch
Figure 3 flight_energy,semantic,500,MCTS,flight_energy_per_req,5500.000,4021.034,-1478.966,0.269,partial
Figure 6 finished,semantic,300,LinUCB,finished,65.000,127.900,62.900,0.968,mismatch
Figure 6 finished,semantic,300,SA,finished,50.000,101.400,51.400,1.028,mismatch
Figure 6 finished,semantic,300,Greedy,finished,205.000,184.000,-21.000,0.102,match
Figure 6 finished,semantic,300,MCTS,finished,180.000,160.800,-19.200,0.107,match
Figure 6 finished,nonsemantic,300,LinUCB,finished,60.000,66.500,6.500,0.108,match
Figure 6 finished,nonsemantic,300,SA,finished,45.000,68.300,23.300,0.518,mismatch
Figure 6 finished,nonsemantic,300,Greedy,finished,100.000,75.900,-24.100,0.241,match
Figure 6 finished,nonsemantic,300,MCTS,finished,65.000,77.000,12.000,0.185,match
