mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_raw_count
semantic,100,Stochastic,30.7,30962.12150734872,25.444261927520973,135.07303375340794,85.92635740770166,9.8,4.4,1.0,0.721415302788585,-19.09717683205847,9.8,20.9
semantic,100,LinUCB,69.3,14222.660751253661,11.448661104159775,62.346743200500306,74.47004107026613,58.8,17.1,1.0,0.24977300221999185,-20.892872598663153,58.8,10.5
semantic,100,SA,42.5,24548.926468960733,20.185963452120735,107.15781068562212,88.29136831541794,26.9,10.9,1.0,0.4416007147997279,-21.573926986730093,26.9,15.6
semantic,100,Greedy,126.4,7282.98784340386,5.915960648371542,31.961966606423385,23.990203124340088,121.8,0.0,1.0,0.13692714475422613,-19.243630206741116,121.8,4.6
semantic,100,MCTS,107.5,9844.913866679508,7.952393983131732,43.13429641306501,47.29593416994644,103.8,18.4,1.0,0.1345108091419504,-20.114337171671195,103.8,3.7
semantic,200,Stochastic,54.8,21245.775119964972,16.16855443842447,93.13515507470035,180.60444998333733,15.2,7.3,1.0,0.7584567506958014,-16.332226109692442,15.2,39.6
semantic,200,LinUCB,110.9,8209.13517042179,5.508652805407659,36.53518111250338,147.03095442011974,84.3,25.1,1.0,0.3178092071029181,-15.929225787001428,84.3,26.6
semantic,200,SA,77.6,15323.324337970826,11.463204883151121,67.40079040235467,162.39460017159743,44.3,18.5,1.0,0.4905013737753917,-16.319085238330953,44.3,33.3
semantic,200,Greedy,177.9,2832.1206988632252,1.9945650008604274,12.853108264463671,23.904516538328757,146.3,0.0,1.0,0.2595686146131876,-9.048654349326535,146.3,31.6
semantic,200,MCTS,153.6,4577.334790703774,3.0657552469992373,20.56495511745856,75.95834100041243,134.6,34.3,1.0,0.21369326594165625,-12.966661032985488,134.6,19.0
semantic,300,Stochastic,74.4,15274.16504893793,10.315598444225415,67.17467246311806,276.33464552700235,19.3,8.8,1.0,0.7686831629373281,-13.670066301099492,19.3,55.1
semantic,300,LinUCB,127.9,5799.602641829855,2.991036148007118,26.446849388135583,196.72991061127925,85.7,25.0,1.0,0.39822538053844253,-12.021003033599339,85.7,42.2
semantic,300,SA,101.4,10558.584288097009,6.704226951708057,46.814212052162034,248.80076884368123,55.0,23.5,1.0,0.5155958163266938,-13.390116999621242,55.0,46.4
semantic,300,Greedy,184.0,2266.5052601211323,1.4095013301238946,10.63291503663783,31.446230452787137,149.2,0.0,1.0,0.2728108140423252,-6.113893784694069,149.2,34.8
semantic,300,MCTS,160.8,4345.4675557512555,2.637357375611521,19.856000530822797,101.26498596022022,129.1,37.3,1.0,0.27930223564128903,-10.384582057141088,129.1,31.7
semantic,400,Stochastic,77.3,13669.273683758229,8.472160100829221,60.76331052827919,368.4617906141738,19.3,10.6,1.0,0.7756262200013981,-12.740858598336178,19.3,58.0
semantic,400,LinUCB,126.7,7078.264281344219,3.7801745762365613,32.44603169708432,247.935868403936,80.6,22.9,1.0,0.4291347103239639,-11.241453180896675,80.6,46.1
semantic,400,SA,114.1,8536.488950921888,4.495589656124883,38.11372458767472,317.5704701356815,57.1,25.2,1.0,0.5525032019578969,-11.246633450631409,57.1,57.0
semantic,400,Greedy,187.0,2066.376626086525,1.16833698782342,9.898281000879315,36.16259716609103,146.7,0.0,1.0,0.2959566971881501,-4.6889425818207116,146.7,40.3
semantic,400,MCTS,163.4,3905.2716374521306,2.0413706209637708,18.135323945424116,121.39449098611635,118.3,34.8,1.0,0.34967043812348325,-8.28204107577837,118.3,45.1
semantic,500,Stochastic,84.7,13050.14913997823,7.390643772117045,58.06657602182145,462.536794895843,21.3,11.4,1.0,0.7785261018753147,-11.883637506476955,21.3,63.4
semantic,500,LinUCB,122.8,6556.575757955086,2.9093067344525823,30.527860928111522,316.54418038740175,72.4,21.7,1.0,0.47047851279479885,-10.166767615087348,72.4,50.4
semantic,500,SA,102.3,9584.03121198755,4.991855122841238,42.967165529422175,399.5376359031476,51.2,22.9,1.0,0.546599638535499,-11.379980406449459,51.2,51.1
semantic,500,Greedy,195.7,2047.3346761601238,1.141768470433359,9.863186158596147,39.57213656140023,155.2,0.0,1.0,0.2885451037277176,-4.060125934482988,155.2,40.5
semantic,500,MCTS,158.2,4021.0340026899366,1.9807172265995938,18.86079334544268,147.12095870464947,108.9,35.7,1.0,0.3814778382977961,-7.791476269600378,108.9,49.3
nonsemantic,300,LinUCB,66.5,18569.152330748206,14.00805032915952,81.98233857194494,152.2099800934907,0.0,0.0,1.0,1.0,-14.041751948493305,0.0,66.5
nonsemantic,300,SA,68.3,17400.78026104427,12.301538241273267,76.56972866709069,219.64531411057865,0.0,0.0,1.0,1.0,-14.300514911177894,0.0,68.3
nonsemantic,300,Greedy,75.9,15033.23405872392,11.842548938727756,66.19405726887018,56.06432254150727,0.0,0.0,1.0,1.0,-12.8962160988854,0.0,75.9
nonsemantic,300,MCTS,77.0,14465.283680201177,11.275271205935416,63.760924661773444,59.61556587874774,0.0,0.0,1.0,1.0,-13.507133973251527,0.0,77.0
