active_channels,operating_point,theoretical_rho_raw_rgb,measured_rho_uint8_over_raw_rgb,measured_rho_zlib_over_raw_rgb,latent_uint8_bytes,latent_zlib_bytes,raw_rgb_bytes,mean_iou,pixel_accuracy,psnr_db,ssim,rgb_l1,loss,evaluated_samples
20,rate_20,0.026041666666666668,0.026041666666666668,0.025967508951822916,1280000,1276355,49152000,0.3048283091529904,0.8284317218833276,18.44779812881515,0.5666523702144622,0.07310502217213313,1.4788619136810304,500
40,rate_40,0.052083333333333336,0.052083333333333336,0.050739176432291665,2560000,2493932,49152000,0.30575056296782543,0.8292469815122712,18.473350510236855,0.567121749162674,0.07295793549219767,1.4776509895324708,500
60,rate_60,0.078125,0.078125,0.07504648844401042,3840000,3688685,49152000,0.30496858772315444,0.8287445548821307,18.466581035842268,0.5674320878982544,0.07299038255214692,1.479073724746704,500
80,paper_like,0.10416666666666667,0.10416666666666667,0.099275634765625,5120000,4879596,49152000,0.3054155422121846,0.8286157743023543,18.43495623228477,0.5675060315132141,0.07317662501335144,1.4772174682617187,500
120,rate_120,0.15625,0.15625,0.14767915852864583,7680000,7258726,49152000,0.306280000302737,0.8291420491880089,18.469343890416184,0.5680320808887481,0.07291466148694356,1.475101082801819,500
