epoch,train_loss,train_ce,train_dice,train_rgb_l1,train_rgb_ssim,val_loss,val_mean_iou,val_pixel_accuracy,val_psnr_db,val_ssim,learning_rate,global_step,sampled_rate_counts_json
1,2.584879300414013,1.8926597289478078,0.8976727669379291,0.11351521932778239,0.5194718435131201,2.317389765739441,0.13246885016437723,0.626948753185145,16.421633373512773,0.4993762676715851,0.0003,186,"{""120"": 2975, ""20"": 2975, ""40"": 1055, ""60"": 888, ""80"": 1032}"
2,2.1171736637083423,1.4824897141817237,0.842410443850926,0.094588108648773,0.4755624471792654,2.0680048446655275,0.17597381873149978,0.7327188526351761,16.596032890919187,0.5184293024539948,0.00029819018606748525,372,"{""120"": 2975, ""20"": 2975, ""40"": 1068, ""60"": 951, ""80"": 956}"
3,1.9334294373648506,1.321221338881164,0.8118640432037225,0.09070852507062319,0.46227020325780915,1.9374114742279054,0.1971683728345037,0.7554585149775461,16.998517091604892,0.5264049644470215,0.0002928053078953876,558,"{""120"": 2975, ""20"": 2975, ""40"": 904, ""60"": 967, ""80"": 1104}"
4,1.819958749739062,1.220419313526955,0.7916931943532799,0.08970659820222053,0.45594498892792135,1.8648579692840577,0.21433778279104243,0.7621870197031482,16.711671634986867,0.5249802606105805,0.0002839779590556901,744,"{""120"": 2975, ""20"": 2975, ""40"": 979, ""60"": 972, ""80"": 1024}"
5,1.7335762572088163,1.14711163408616,0.7759616962801509,0.08620159675594137,0.44912873115860114,1.7746650037765503,0.23685648656166214,0.7955470817871715,17.158191320115645,0.5357801492214203,0.0002719254981731173,930,"{""120"": 2975, ""20"": 2975, ""40"": 1087, ""60"": 964, ""80"": 924}"
6,1.6681815173044925,1.091957022202115,0.7628832938290444,0.0835633912907929,0.4448778151063358,1.750943009376526,0.2360665114773907,0.7921067605034732,17.59795196049778,0.5394458334445953,0.0002569446968344225,1116,"{""120"": 2975, ""20"": 2975, ""40"": 984, ""60"": 987, ""80"": 1004}"
7,1.6239610173521923,1.054187545175312,0.7550948571157055,0.08177241011327055,0.4418145269606294,1.710144377708435,0.24163144667043385,0.7937281613107225,17.778173217977645,0.5451448016166687,0.00023940443208699363,1302,"{""120"": 2975, ""20"": 2975, ""40"": 992, ""60"": 980, ""80"": 1003}"
8,1.582565822881811,1.0183589010879772,0.7480688437293558,0.08045564513747432,0.43886740898885646,1.6567046966552734,0.2529228999959847,0.8106088684086928,17.630523749693957,0.5483702676296234,0.00021973660346171343,1488,"{""120"": 2975, ""20"": 2975, ""40"": 944, ""60"": 980, ""80"": 1051}"
9,1.5449165110628145,0.9874915328947436,0.7421957308705114,0.07795563303122,0.4334859377296031,1.67533517742157,0.2436022568192623,0.7842538105303796,17.727700425910292,0.5494871339797973,0.00019842549817311735,1674,"{""120"": 2975, ""20"": 2975, ""40"": 1055, ""60"": 972, ""80"": 948}"
10,1.5235000896453856,0.9706057079699861,0.7370355791404468,0.07664364995700973,0.43093178693987744,1.615383150100708,0.2615243580087217,0.81070980264306,17.85223881766302,0.5502786393165588,0.00017599586636091402,1860,"{""120"": 2975, ""20"": 2975, ""40"": 984, ""60"": 995, ""80"": 996}"
