active_channels,operating_point,theoretical_rho_raw_rgb,measured_rho_uint8_over_raw_rgb,measured_rho_zlib_over_raw_rgb,latent_uint8_bytes,latent_zlib_bytes,raw_rgb_bytes,mean_iou,pixel_accuracy,psnr_db,ssim,rgb_l1,loss,evaluated_samples
20,rate_20,0.026041666666666668,0.026041666666666668,0.025960062662760415,1280000,1275989,49152000,0.3029534153356232,0.8264378674384898,18.54080613582839,0.5655160183906556,0.07302819764614105,1.482396264076233,500
40,rate_40,0.052083333333333336,0.052083333333333336,0.05072690836588541,2560000,2493329,49152000,0.3035044167224471,0.8266535538670368,18.56699923287867,0.5660222713947296,0.07293702095746994,1.4819226722717285,500
60,rate_60,0.078125,0.078125,0.07503181966145833,3840000,3687964,49152000,0.303137072183085,0.8265453248721594,18.564602898304262,0.5663912415504455,0.072793821255366,1.4819091801643371,500
80,paper_like,0.10416666666666667,0.10416666666666667,0.09924462890625,5120000,4878072,49152000,0.3033741585863383,0.826660357634051,18.532745002122002,0.5664451310634613,0.07303187922636668,1.4793299779891969,500
120,rate_120,0.15625,0.15625,0.14763690185546874,7680000,7256649,49152000,0.3040469304649638,0.8269684209817513,18.56594348151182,0.5670017561912537,0.07280052413543066,1.4779129576683045,500
