mode,area,policy,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,100,Stochastic,31.5,32260.884257145975,26.337115298404882,140.7065876122632,87.63415387430749,8.7,4.7,0.8123254062274098,0.7579485762512722,-19.606635771851902,0.0,0.0,8.7,22.8
semantic,100,LinUCB,65.3,10655.323268944103,7.903940290261974,46.879953359211854,70.77737393901677,56.7,21.6,0.3978022678457741,0.22332151882630616,-20.570227685779745,0.0,0.0,56.7,8.6
semantic,100,SA,44.2,23592.47924101417,18.936292400026137,102.9860648280674,86.0529889396219,28.5,14.3,0.557518846560308,0.42931437325056293,-21.744727134090706,0.0,0.0,28.5,15.7
semantic,100,Greedy,122.4,7839.957679026377,6.041958150803901,34.35106704779804,24.86948824749964,121.7,0.0,0.3087785184430315,0.10850403150836636,-18.746813839811928,0.0,0.0,121.7,0.7
semantic,100,MCTS,123.9,7255.81752077208,5.31619895755721,31.929503872031727,42.65676941729309,118.0,41.1,0.3378133970794659,0.14595147482526144,-18.468191859596292,0.0,0.0,118.0,5.9
semantic,200,Stochastic,55.3,22432.615053311572,16.978512107391857,98.26046582390018,183.0130122233963,15.5,7.7,0.8089047067795946,0.7535367634698178,-16.29355926700729,0.0,0.0,15.5,39.8
semantic,200,LinUCB,119.5,7025.685064854617,4.0660452435792624,31.41916673375921,141.60519685674882,92.5,32.7,0.46134524827503026,0.30527544009481766,-15.19897481900353,0.0,0.0,92.5,27.0
semantic,200,SA,81.0,12671.481001956246,8.693726657912787,55.745047968785094,167.68890456993284,46.6,21.8,0.6005612666412518,0.4848279025608083,-16.057985251773225,0.0,0.0,46.6,34.4
semantic,200,Greedy,174.0,2817.502699844089,1.718928478173663,12.771265884386294,23.441322868698116,170.9,0.0,0.31782512529298945,0.12017180189811072,-9.513435654421908,0.0,0.0,170.9,3.1
semantic,200,MCTS,154.4,4739.613602631386,2.7798742076846787,21.29103325564435,73.13384548038653,138.3,50.7,0.37701194731349635,0.19650741157890583,-12.778650238191243,0.0,0.0,138.3,16.1
semantic,300,Stochastic,72.2,15452.523491278887,10.29963804242702,68.04796726680817,273.01235755944924,20.6,9.7,0.8056149045888145,0.7492937741118922,-13.661324816610147,0.0,0.0,20.6,51.6
semantic,300,LinUCB,138.3,5645.675894012837,2.4882904752547543,25.813297146822702,193.09364295091828,93.7,31.0,0.5292330882453871,0.39283310034989716,-11.394235687744498,0.0,0.0,93.7,44.6
semantic,300,SA,100.3,10467.070566880131,6.196920282628961,46.41299877384143,253.9303030627801,55.4,26.7,0.6157006579114229,0.5043537805071555,-13.711309909694867,0.0,0.0,55.4,44.9
semantic,300,Greedy,190.7,2234.6463119424825,1.111653168465424,10.516764413169028,31.895164244935852,187.8,0.0,0.3157655366699226,0.1175154681422795,-6.457169008121818,0.0,0.0,187.8,2.9
semantic,300,MCTS,164.4,4153.956999831262,2.0169474858836187,19.04165791417487,100.651567961987,135.6,51.6,0.42634963090862765,0.2601401938250548,-10.222287987365824,0.0,0.0,135.6,28.8
semantic,400,Stochastic,87.1,12672.96867387476,7.327378463537594,56.307578318370496,375.10592792960097,24.3,13.4,0.8058410226953884,0.7495854076704436,-12.173536045585173,0.0,0.0,24.3,62.8
semantic,400,LinUCB,126.2,7008.74782661318,3.4158185594253423,32.188513699017804,239.93490832792077,83.5,33.3,0.537449251330489,0.4034298142285511,-11.317711522950601,0.0,0.0,83.5,42.7
