check,mode,area,policy,metric,paper_visual_estimate,reproduction,absolute_error,relative_error,verdict
Figure 3 flight_energy,semantic,400,SA,flight_energy_per_req,10000.000,9613.022,-386.978,0.039,match
Figure 3 flight_energy,semantic,400,Greedy,flight_energy_per_req,5000.000,2028.804,-2971.196,0.594,mismatch
Figure 3 flight_energy,semantic,400,MCTS,flight_energy_per_req,5500.000,3602.444,-1897.556,0.345,partial
Figure 3 flight_energy,semantic,500,LinUCB,flight_energy_per_req,10000.000,6565.732,-3434.268,0.343,partial
Figure 3 flight_energy,semantic,500,SA,flight_energy_per_req,16000.000,8890.201,-7109.799,0.444,partial
Figure 3 flight_energy,semantic,500,Greedy,flight_energy_per_req,4500.000,1826.838,-2673.162,0.594,mismatch
Figure 3 flight_energy,semantic,500,MCTS,flight_energy_per_req,5500.000,3948.066,-1551.934,0.282,partial
Figure 6 finished,semantic,300,LinUCB,finished,65.000,138.300,73.300,1.128,mismatch
Figure 6 finished,semantic,300,SA,finished,50.000,100.300,50.300,1.006,mismatch
Figure 6 finished,semantic,300,Greedy,finished,205.000,190.700,-14.300,0.070,match
Figure 6 finished,semantic,300,MCTS,finished,180.000,164.400,-15.600,0.087,match
Figure 6 finished,nonsemantic,300,LinUCB,finished,60.000,66.500,6.500,0.108,match
Figure 6 finished,nonsemantic,300,SA,finished,45.000,68.300,23.300,0.518,mismatch
Figure 6 finished,nonsemantic,300,Greedy,finished,100.000,75.900,-24.100,0.241,match
Figure 6 finished,nonsemantic,300,MCTS,finished,65.000,77.000,12.000,0.185,match
